nama	hospital	address	keyword	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	keyword9	keyword10	keyword11	keyword12
Kota Cilegon	RS Krakatau Medika	Jl. Semang Raya No. 01	RS Krakatau Medika Kota Cilegon	RS	Krakatau	Medika	Kota	Cilegon							
Sumba Timur	RS Kristen Lindimara	Jl. Prof.DR WZ. Johannes No.6,Waingapu	RS Kristen Lindimara Sumba Timur	RS	Kristen	Lindimara	Sumba	Timur							
Jombang	RS Kristen Mojowarno	Jl. Merdeka No.59 Mojowarno, Jombang	RS Kristen Mojowarno Jombang	RS	Kristen	Mojowarno	Jombang								
Kota Cilegon	RS Kurnia	Jl. Jombang Masjid No.4, Cilegon	RS Kurnia Kota Cilegon	RS	Kurnia	Kota	Cilegon								
Serang	RS Kurnia Serang	Jl. Raya Cilegon KM 8 Kramatwatu	RS Kurnia Serang Serang	RS	Kurnia	Serang	Serang								
Kota Bontang	RS LNG Badak	Kompleks PT Badak NGLBontang, Kalimantan Timur	RS LNG Badak Kota Bontang	RS	LNG	Badak	Kota	Bontang							
Lamongan	RS Lapangan Brondong	Jl. Raya Pambon 18 Brondong	RS Lapangan Brondong Lamongan	RS	Lapangan	Brondong	Lamongan								
Kota Manado	RS Lapangan Darurat Covid-19 Kita Waya	Jl. Raya Manado Bitung Depan Kantor DPRD Provinsi Sulawesi Utara, Kairagi Satu Kairagi	RS Lapangan Darurat Covid-19 Kita Waya Kota Manado	RS	Lapangan	Darurat	Covid-19	Kita	Waya	Kota	Manado				
Bantul	RS Lapangan Khusus Covid-19 Kab. Bantul	Jl. Samas KM 19 Dusun Selo Desa Sidomulyo Kec. Bambanglipuro	RS Lapangan Khusus Covid-19 Kab. Bantul Bantul	RS	Lapangan	Khusus	Covid-19	Kab.	Bantul	Bantul					
Malang	RS Lawang Medika	Jl. Dr. Cipto No.8 Bedali, Lawang, Kab. Malang	RS Lawang Medika Malang	RS	Lawang	Medika	Malang								
Kota Surabaya	RS Manyar Medical Centre	Jl. Manyar No.9, Surabaya	RS Manyar Medical Centre Kota Surabaya	RS	Manyar	Medical	Centre	Kota	Surabaya						
Kota Surabaya	RS Marinir Ewa Pangalila Gunungsari	Jl. Golf No. 1 Surabaya	RS Marinir Ewa Pangalila Gunungsari Kota Surabaya	RS	Marinir	Ewa	Pangalila	Gunungsari	Kota	Surabaya					
Malang	RS Marsudi Waluyo	Jl. Raya Mondoroko Km. 09, RT 004 RW 003 Desa Purwoasri, Kec. Singosari, Kab. Malang	RS Marsudi Waluyo Malang	RS	Marsudi	Waluyo	Malang								
Takalar	RS Maryam Citra Medika	Jl Poros Takalar-Makassar KM, Kelurahan Bajeng, Kecamatan Pattallassang, Kabupaten Takalar	RS Maryam Citra Medika Takalar	RS	Maryam	Citra	Medika	Takalar							
Kota Tangerang	RS Mayapada	Jl. Honoris Raya Kav.6 Tangerang	RS Mayapada Kota Tangerang	RS	Mayapada	Kota	Tangerang								
Kota Tangerang Selatan	RS Medika BSD	Jl. Letnan Soetopo Kav Kom. III A No.7, BSD Tangerang	RS Medika BSD Kota Tangerang Selatan	RS	Medika	BSD	Kota	Tangerang	Selatan						
Lampung Utara	RS Medika Insani	Jl. Sumber Jaya No. 667 Desa Tanjung Baru Kecamatan Bukit Kemuning Kabupaten Lampung Utara	RS Medika Insani Lampung Utara	RS	Medika	Insani	Lampung	Utara							
Kota Tangerang	RS Medika Lestari	Jl. HOS Cokroaminoto Perum Pondok Lestari Blok C1	RS Medika Lestari Kota Tangerang	RS	Medika	Lestari	Kota	Tangerang							
Tuban	RS Medika Mulia Tuban	Jl. Mojopahit 699 Tuban	RS Medika Mulia Tuban Tuban	RS	Medika	Mulia	Tuban	Tuban							
Kota Balikpapan	RS Medika Utama Manggar	Jl. Mulawarman No. 24 RT. 07 Manggar Baru Balikpapan Timur	RS Medika Utama Manggar Kota Balikpapan	RS	Medika	Utama	Manggar	Kota	Balikpapan						
Kota Balikpapan	RS Medika Utama Permata	Jl. Imam Bonjol no. 01, Balikpapan	RS Medika Utama Permata Kota Balikpapan	RS	Medika	Utama	Permata	Kota	Balikpapan						
Garut	RS Medina	Jl. Raya Wanaraja No. 500 RT. 004 RW. 008 Desa Cinunuk Kec. Wanaraja	RS Medina Garut	RS	Medina	Garut									
Kota Tangerang	RS Melati	Jl. Merdeka No. 92, Kota Tangerang	RS Melati Kota Tangerang	RS	Melati	Kota	Tangerang								
Tangerang	RS Mentari	Jl. Raya Legok KM 4 Bojong Nangka, Kelapa Dua, Tangerang	RS Mentari Tangerang	RS	Mentari	Tangerang									
Merangin	RS Merangin Medical Centre	Jl. Lintas Sumatera KM. 03 Lingkungan Mensawang Kel. Dusun Bangko	RS Merangin Medical Centre Merangin	RS	Merangin	Medical	Centre	Merangin							
Lebak	RS Misi Lebak	Jl. Multatuli No.41 Rangkas Bitung	RS Misi Lebak Lebak	RS	Misi	Lebak	Lebak								
Malang	RS Mitra Delima	Jl. Raya Bulupayung No. 1B, RT 007, RW 031, Desa Krebet, Kec. Bululawang, Kab. Malang	RS Mitra Delima Malang	RS	Mitra	Delima	Malang								
Tangerang	RS Mitra Husada	Jl. Kp. Melayu Barat No. 11A Teluk Naga - Tangerang - Banten	RS Mitra Husada Tangerang	RS	Mitra	Husada	Tangerang								
Kota Tangerang Selatan	RS Mitra Keluarga Bintaro	Jl. Raya Bintaro Utama Sektor III A	RS Mitra Keluarga Bintaro Kota Tangerang Selatan	RS	Mitra	Keluarga	Bintaro	Kota	Tangerang	Selatan					
Tangerang	RS Mitra Keluarga Gading Serpong	Jl. Kp. Anggris, Kelurahan Medang, Kecamatan Pagedangan, Kabupaten Tangerang	RS Mitra Keluarga Gading Serpong Tangerang	RS	Mitra	Keluarga	Gading	Serpong	Tangerang						
Kota Surabaya	RS Mitra Keluarga Kenjeran	Jl. Kenjeran No. 506 Surabaya	RS Mitra Keluarga Kenjeran Kota Surabaya	RS	Mitra	Keluarga	Kenjeran	Kota	Surabaya						
Sidoarjo	RS Mitra Keluarga Pondok Tjandra	Jl. Raya Taman Asri Kav DD No 1 - 8	RS Mitra Keluarga Pondok Tjandra Sidoarjo	RS	Mitra	Keluarga	Pondok	Tjandra	Sidoarjo						
Kota Bekasi	RS Mitra Keluarga Pratama	Jl. Raya Jatimekar Kel. Jatimekar Kec. Jatiasih Kota Bekasi	RS Mitra Keluarga Pratama Kota Bekasi	RS	Mitra	Keluarga	Pratama	Kota	Bekasi						
Bondowoso	RS Mitra Medika Bondowoso	Jl. HOS Cokroaminoto nomer 98 Kab. Bondowoso	RS Mitra Medika Bondowoso Bondowoso	RS	Mitra	Medika	Bondowoso	Bondowoso							
Bekasi	RS Mitra Medika Narom	Jl. Desa Jatiwangi Cikedokan Kp. Kamurang	RS Mitra Medika Narom Bekasi	RS	Mitra	Medika	Narom	Bekasi							
Indramayu	RS Mitra Plumbon Indramayu	Jl. By Pass Jalan Baru Desa Ujungaris Kec. Widasari Kab. Indramayu	RS Mitra Plumbon Indramayu Indramayu	RS	Mitra	Plumbon	Indramayu	Indramayu							
Kota Kediri	RS Muhammadiyah Ahmad Dahlan	Jl. Gatot Subroto No. 84 Ngampel Mojoroto Kediri	RS Muhammadiyah Ahmad Dahlan Kota Kediri	RS	Muhammadiyah	Ahmad	Dahlan	Kota	Kediri						
Lamongan	RS Muhammadiyah Babat	Jl. KH. Ahmad Dahlan No. 14 Babat, Lamongan	RS Muhammadiyah Babat Lamongan	RS	Muhammadiyah	Babat	Lamongan								
Gresik	RS Muhammadiyah Gresik	Jl. KH. Kholil 88, Kel. Kemuteran, Kec. Gresik	RS Muhammadiyah Gresik Gresik	RS	Muhammadiyah	Gresik	Gresik								
Lamongan	RS Muhammadiyah Kalikapas	Jl. Raya Lamongan Mantup Desa Sidomukti Kec. Lamongan	RS Muhammadiyah Kalikapas Lamongan	RS	Muhammadiyah	Kalikapas	Lamongan								
Kota Palembang	RS Muhammadiyah Palembang	Jl. A. Yani 13 Ulu, Palembang	RS Muhammadiyah Palembang Kota Palembang	RS	Muhammadiyah	Palembang	Kota	Palembang							
Kota Jakarta Selatan	RS Muhammadiyah Taman Puring	Jl. Gandaria I/20 Kebayoran Baru Jaksel	RS Muhammadiyah Taman Puring Kota Jakarta Selatan	RS	Muhammadiyah	Taman	Puring	Kota	Jakarta	Selatan					
Tuban	RS Muhammadiyah Tuban	Jl. Diponegoro No.1 Tuban	RS Muhammadiyah Tuban Tuban	RS	Muhammadiyah	Tuban	Tuban								
Kota Tangerang	RS Mulya	Jl.KH. Hasyim Ashari No.18 Sudimara Pinang, Pinang	RS Mulya Kota Tangerang	RS	Mulya	Kota	Tangerang								
Bojonegoro	RS Muslimat NU Muna Anggita Bojonegoro	Jl. Ahmad Yani No. 10A Bojonegoro	RS Muslimat NU Muna Anggita Bojonegoro Bojonegoro	RS	Muslimat	NU	Muna	Anggita	Bojonegoro	Bojonegoro					
Kota Sorong	RS Mutiara	Jl Maleo No 2-A HBM
Kelurahan Remu Utara	RS Mutiara Kota Sorong	RS	Mutiara	Kota	Sorong								
Banyuwangi	RS Nahdlatul Ulama Banyuwangi	Jl. Raya Mangir No. 9, Kec. Rogojampi, Banyuwangi	RS Nahdlatul Ulama Banyuwangi Banyuwangi	RS	Nahdlatul	Ulama	Banyuwangi	Banyuwangi							
Lampung Selatan	RS Natar Medika	Jl. Raya Natar No.4 Muara Putih, Lampung Selatan	RS Natar Medika Lampung Selatan	RS	Natar	Medika	Lampung	Selatan							
Kota Surabaya	RS National Hospital	Jl. Boulevard Famili Selatan kav. 1, Surabaya	RS National Hospital Kota Surabaya	RS	National	Hospital	Kota	Surabaya							
Tabanan	RS Nyitdah	Banjar Tegal Antugan Desa Nyitdah Kec. Kediri	RS Nyitdah Tabanan	RS	Nyitdah	Tabanan									
Kota Tangerang Selatan	RS Omni	Jl. Alam Sutera Boulevard Kav.25,Tangerang	RS Omni Kota Tangerang Selatan	RS	Omni	Kota	Tangerang	Selatan							
Sukoharjo	RS Orthopedi Prof. Dr. R. Soeharso	Jl. Jenderal Ahmad Yani Pabelan, Surakarta 57162	RS Orthopedi Prof. Dr. R. Soeharso Sukoharjo	RS	Orthopedi	Prof.	Dr.	R.	Soeharso	Sukoharjo					
Kota Surabaya	RS Orthopedi dan Traumatologi Surabaya	EMERALD MANSION TX 10 CITRALAND, SURABAYA	RS Orthopedi dan Traumatologi Surabaya Kota Surabaya	RS	Orthopedi	dan	Traumatologi	Surabaya	Kota	Surabaya					
Kota Bukittinggi	RS Otak DR. drs. M. Hatta Bukittinggi	Jl. Jend Sudirman Bukittinggi PO. BOX I Bukittinggi	RS Otak DR. drs. M. Hatta Bukittinggi Kota Bukittinggi	RS	Otak	DR.	drs.	M.	Hatta	Bukittinggi	Kota	Bukittinggi			
Kota Jakarta Pusat	RS PGI Cikini	Jl. Raden Saleh No. 40 Jakpus	RS PGI Cikini Kota Jakarta Pusat	RS	PGI	Cikini	Kota	Jakarta	Pusat						
Jepara	RS PKU Aisyiyah Jepara	Jl. Kopral Sapari 18A Pengkol	RS PKU Aisyiyah Jepara Jepara	RS	PKU	Aisyiyah	Jepara	Jepara							
Klaten	RS PKU Muhammadiyah Pedan	Jl. Pedan-Cawas KM. 01 Sobayan Pedan Klaten	RS PKU Muhammadiyah Pedan Klaten	RS	PKU	Muhammadiyah	Pedan	Klaten							
Purbalingga	RS PKU Muhammadiyah Purbalingga	Jl. Kolonel Sugiri Gandasuli Bobotsari	RS PKU Muhammadiyah Purbalingga Purbalingga	RS	PKU	Muhammadiyah	Purbalingga	Purbalingga							
Wonogiri	RS PKU Muhammadiyah Wonogiri	Sanggrahan RT. 03 RW. 09 Giripurwo Wonogiri	RS PKU Muhammadiyah Wonogiri Wonogiri	RS	PKU	Muhammadiyah	Wonogiri	Wonogiri							
Kota Yogyakarta	RS PKU Muhammadiyah Yogyakarta	Jl K.H. Ahmad Dahlan No. 20 Ngupasan Gondomanan Yogyakarta	RS PKU Muhammadiyah Yogyakarta Kota Yogyakarta	RS	PKU	Muhammadiyah	Yogyakarta	Kota	Yogyakarta						
Kota Manado	RS Pancaran Kasih	Jl. Dr. Sam Ratulangi XIII	RS Pancaran Kasih Kota Manado	RS	Pancaran	Kasih	Kota	Manado							
Tanggamus	RS Panti Secanti	Jl. Raya Gisting,Tanggamus	RS Panti Secanti Tanggamus	RS	Panti	Secanti	Tanggamus								
Kota Semarang	RS Panti Wilasa	Jl. Dr. Cipto 50, Bugangan, Semarang Timur	RS Panti Wilasa Kota Semarang	RS	Panti	Wilasa	Kota	Semarang							
Kota Salatiga	RS Paru Dr. Ario Wirawan	Jl. Hasanudin No.806,Salatiga	RS Paru Dr. Ario Wirawan Kota Salatiga	RS	Paru	Dr.	Ario	Wirawan	Kota	Salatiga					
Kota Bandung	RS Paru Dr. H. A. Rotinsulu	Jl. Bukit Jarian No. 40 Bandung	RS Paru Dr. H. A. Rotinsulu Kota Bandung	RS	Paru	Dr.	H.	A.	Rotinsulu	Kota	Bandung				
Bogor	RS Paru Dr. M. Goenawan Partowidigdo	Jl. Raya Puncak KM.83, Po Box 28 Cisarua Bogor 16750	RS Paru Dr. M. Goenawan Partowidigdo Bogor	RS	Paru	Dr.	M.	Goenawan	Partowidigdo	Bogor					
Jember	RS Paru Jember	Jl. Nusa Indah No. 28 Jember	RS Paru Jember Jember	RS	Paru	Jember	Jember								
Kota Madiun	RS Paru Manguharjo Madiun	Jl. Yos Sudarso 108-112 Manguharjo, Kel. Madiun Lor, Kec. Manguharjo, Kota Madiun	RS Paru Manguharjo Madiun Kota Madiun	RS	Paru	Manguharjo	Madiun	Kota	Madiun						
Cirebon	RS Paru Provinsi Jawa Barat	Jl. Pangeran Kejaksan PO.BOX 4 Desa Sidawangi, Kecamatan Sumber Kab. Cirebon	RS Paru Provinsi Jawa Barat Cirebon	RS	Paru	Provinsi	Jawa	Barat	Cirebon						
Bantul	RS Paru Respira	Jl Panembahan Senopati No 4, Palbapang, Bantul, Yogyakarta	RS Paru Respira Bantul	RS	Paru	Respira	Bantul								
Kota Palembang	RS Pelabuhan Palembang	Jl. Mayor Memet Sastra Wirya No.1 Boom Baru	RS Pelabuhan Palembang Kota Palembang	RS	Pelabuhan	Palembang	Kota	Palembang							
Manokwari	RS Pembantu Manokwari	Jl. Brawijaya Kodim 1703 Manokwari	RS Pembantu Manokwari Manokwari	RS	Pembantu	Manokwari	Manokwari								
Kota Jakarta Utara	RS Penyakit Infeksi Prof. Dr. Sulianti Saroso	Jl. Baru Sunter Permai Raya Jakarta Utara	RS Penyakit Infeksi Prof. Dr. Sulianti Saroso Kota Jakarta Utara	RS	Penyakit	Infeksi	Prof.	Dr.	Sulianti	Saroso	Kota	Jakarta	Utara		
Jember	RS Perkebunan PTPN X (Persero) Jember	Jl. Bedadung No.2	RS Perkebunan PTPN X (Persero) Jember Jember	RS	Perkebunan	PTPN	X	(Persero)	Jember	Jember					
Tangerang	RS Permata Hati	Jl. Raya Serang KM. 12,5 Kp. Cirewed, Kel.Sukadamai Kec.Cikupa	RS Permata Hati Tangerang	RS	Permata	Hati	Tangerang								
Kota Tangerang	RS Permata Ibu	Jl. KH. Mas Mansyur No. 2 Kunciran Tangerang	RS Permata Ibu Kota Tangerang	RS	Permata	Ibu	Kota	Tangerang							
Kuningan	RS Permata Kuningan	Jl. Cut Nyak Dien RT. 007 RW. 002 45513	RS Permata Kuningan Kuningan	RS	Permata	Kuningan	Kuningan								
Kota Tangerang Selatan	RS Permata Pamulang	Jl Raya Siliwangi No 1A Pondok Benda	RS Permata Pamulang Kota Tangerang Selatan	RS	Permata	Pamulang	Kota	Tangerang	Selatan						
Kota Balikpapan	RS Pertamina Balikpapan	Jl. Jend Sudirman Balikpapan No.1	RS Pertamina Balikpapan Kota Balikpapan	RS	Pertamina	Balikpapan	Kota	Balikpapan							
Cirebon	RS Pertamina Cirebon	Jl. Patra Raya Klayan No 1 Cirebon	RS Pertamina Cirebon Cirebon	RS	Pertamina	Cirebon	Cirebon								
Kota Prabumulih	RS Pertamina Kota Prabumulih	Jl. Kesehatan No.100,Prabumulih	RS Pertamina Kota Prabumulih Kota Prabumulih	RS	Pertamina	Kota	Prabumulih	Kota	Prabumulih						
Kota Sorong	RS Pertamina Sorong	Jl. Ahmad Yani No.13 Sorong	RS Pertamina Sorong Kota Sorong	RS	Pertamina	Sorong	Kota	Sorong							
Kota Tarakan	RS Pertamina Tarakan	Jl. Mulawarman No. 99 RT. 18 Kel. Karang Anyar Pantai Kec. Tarakan Barat	RS Pertamina Tarakan Kota Tarakan	RS	Pertamina	Tarakan	Kota	Tarakan							
Gresik	RS Petrokimia Gresik	Jl. Jend. A. Yani No. 69 Kel. Ngipik, Kec. Ngipik, Kab. Gresik	RS Petrokimia Gresik Gresik	RS	Petrokimia	Gresik	Gresik								
Gresik	RS Petrokimia Gresik Driyorejo	Jl. Legundi Km. 0,5 Krikilan Driyorejo Gresik	RS Petrokimia Gresik Driyorejo Gresik	RS	Petrokimia	Gresik	Driyorejo	Gresik							
Kota Tangerang Selatan	RS Pondok Indah Bintaro Jaya	CBD Emerald Blok CE/C No. 01, Boulevard Bintaro Jaya	RS Pondok Indah Bintaro Jaya Kota Tangerang Selatan	RS	Pondok	Indah	Bintaro	Jaya	Kota	Tangerang	Selatan				
Malang	RS Prasetya Husada	Jl. Raya Ngijo No.25, RT 05 RW 05 Desa Ngijo Kec. Ngijo, Kab. Malang	RS Prasetya Husada Malang	RS	Prasetya	Husada	Malang								
Kota Yogyakarta	RS Pratama Kota Yogyakarta	Jl Kol. Sugiyono No.98 RT 069 RW 019 Brontokusuman, Mergangsan, Yogyakarta	RS Pratama Kota Yogyakarta Kota Yogyakarta	RS	Pratama	Kota	Yogyakarta	Kota	Yogyakarta						
Karang Asem	RS Pratama Kubu	Dusun Labuan Sari, Desa Tianyar Barat, Kecamatan Kubu, Kabupaten Karangasem, Provinsi Bali	RS Pratama Kubu Karang Asem	RS	Pratama	Kubu	Karang	Asem							
Kota Tangerang Selatan	RS Premier Bintaro	Jl. MH Thamrin No.1 Sektor 7 Bintaro Jaya,Tangerang	RS Premier Bintaro Kota Tangerang Selatan	RS	Premier	Bintaro	Kota	Tangerang	Selatan						
Kota Surabaya	RS Premier Surabaya	Jl. Nginden Intan Barat Sby	RS Premier Surabaya Kota Surabaya	RS	Premier	Surabaya	Kota	Surabaya							
Malang	RS Prima Husada	Perum Banjararum Selatan No.3-7, RT 003 RW 012 Desa Banjararum Kec. Singosari, Kab. Malang	RS Prima Husada Malang	RS	Prima	Husada	Malang								
Pasuruan	RS Prima Husada	Jl. Raya Surabaya Malang KM 54 Lemahbang Kecamatan Sukorejo	RS Prima Husada Pasuruan	RS	Prima	Husada	Pasuruan								
Kota Surabaya	RS Primasatya Husada Citra (PHC) Surabaya	Jl. Prapat Kurung Selatan no 1 Tanjung Perak Surabaya	RS Primasatya Husada Citra (PHC) Surabaya Kota Surabaya	RS	Primasatya	Husada	Citra	(PHC)	Surabaya	Kota	Surabaya				
Kota Bekasi	RS Primaya	Jl. KH. Noer Alie Kav. 17-18 (Kalimalang), Bekasi 17144	RS Primaya Kota Bekasi	RS	Primaya	Kota	Bekasi								
Kota Makassar	RS Primaya	Jl. Urip Sumohardjo No. 43	RS Primaya Kota Makassar	RS	Primaya	Kota	Makassar								
Kota Bekasi	RS Primaya	Jl. HM. Joyomartono RT 003 RW 021 Kelurahan Margahayu Kecamatan Bekasi Timur Kota Bekasi.	RS Primaya Kota Bekasi	RS	Primaya	Kota	Bekasi								
Kota Tangerang	RS Primaya	Jl.MH.Thamrin No.3 Cikokol Kota Tangerang	RS Primaya Kota Tangerang	RS	Primaya	Kota	Tangerang								
Kota Bekasi	RS Primaya Bekasi Utara	Villa Indah Permai Golden City Blok G No. 1 Teluk Pucung Bekasi Utara	RS Primaya Bekasi Utara Kota Bekasi	RS	Primaya	Bekasi	Utara	Kota	Bekasi						
Kota Palangka Raya	RS Primaya Betang Pambelum	Jl. Tjilik Riwut Km 6.5 RT. 002 RW. 011	RS Primaya Betang Pambelum Kota Palangka Raya	RS	Primaya	Betang	Pambelum	Kota	Palangka	Raya					
Kota Pangkal Pinang	RS Primaya Bhakti Wara	JL. Solihin GP No.180 Kel. Gajah Mada Kec.Rangkui	RS Primaya Bhakti Wara Kota Pangkal Pinang	RS	Primaya	Bhakti	Wara	Kota	Pangkal	Pinang					
Karawang	RS Primaya Karawang	Jl. Arteri Galuh Mas Kav. Komersial Galuh Mas Blok 10, Desa Puseurjaya Kec. Telukjambe Timur	RS Primaya Karawang Karawang	RS	Primaya	Karawang	Karawang								
Kota Bontang	RS Pupuk Kaltim	Jl. Oksigen No.01	RS Pupuk Kaltim Kota Bontang	RS	Pupuk	Kaltim	Kota	Bontang							
Kota Jakarta Timur	RS Pusat AU dr. Esnawan Antariksa	Jl. Merpati No. 2 Halim Perdana Kusuma, Jakarta	RS Pusat AU dr. Esnawan Antariksa Kota Jakarta Timur	RS	Pusat	AU	dr.	Esnawan	Antariksa	Kota	Jakarta	Timur			
Kota Jakarta Timur	RS Pusdikkes	Jl. Raya Bogor, Jakarta Timur	RS Pusdikkes Kota Jakarta Timur	RS	Pusdikkes	Kota	Jakarta	Timur							
Bantul	RS Rajawali Citra	Jl Pleret Km.2,5, Banjardadap Potorono Banguntapan Bantul	RS Rajawali Citra Bantul	RS	Rajawali	Citra	Bantul								
Kota Pematang Siantar	RS Rasyida Siantar	Jl. Seram Atas No. 5B, Kel. Bantan Kec. Siantar Barat	RS Rasyida Siantar Kota Pematang Siantar	RS	Rasyida	Siantar	Kota	Pematang	Siantar						
Merangin	RS Raudhah	Jl Lintas Sumatera Km 1 Bukit Aur Bangko Jambi	RS Raudhah Merangin	RS	Raudhah	Merangin									
Probolinggo	RS Rizani Husada	Jl. Raya Surabaya - Situbondo KM 135 desa Sumberejo Kec. Paiton Kab. Probolinggo	RS Rizani Husada Probolinggo	RS	Rizani	Husada	Probolinggo								
Kota Jambi	RS Royal Prima	Jl. Raden Wijaya RT 35 Kebon Kopi Kec Jambi Selatan	RS Royal Prima Kota Jambi	RS	Royal	Prima	Kota	Jambi							
Kota Sorong	RS Rujukan Covid-19 Kota Sorong	Jl. Kesehatan Kelurahan Kampung Baru Distrik Sorong	RS Rujukan Covid-19 Kota Sorong Kota Sorong	RS	Rujukan	Covid-19	Kota	Sorong	Kota	Sorong					
Kota Tangerang Selatan	RS Rumah Indonesia Sehat	Jl. Lengkong Gudang Timur Raya No. 777BSD - Tangerang Selatan	RS Rumah Indonesia Sehat Kota Tangerang Selatan	RS	Rumah	Indonesia	Sehat	Kota	Tangerang	Selatan					
Manggarai	RS ST Rafael Cancar	Jl. Ruteng Labuan Bajo Cancar Ruteng	RS ST Rafael Cancar Manggarai	RS	ST	Rafael	Cancar	Manggarai							
Kota Samarinda	RS Samarinda Medika Citra	Jl. Kadrie Oening No 85 RT 35 Samarinda 751234	RS Samarinda Medika Citra Kota Samarinda	RS	Samarinda	Medika	Citra	Kota	Samarinda						
Sambas	RS Santa Elizabeth	Jl. Gusti Hamzah 29 Sambas	RS Santa Elizabeth Sambas	RS	Santa	Elizabeth	Sambas								
Kota Pekanbaru	RS Santa Maria Pekanbaru	Jl Ahmad Yani No. 68 Rt/Rw 001/001 Kel.Pulau Karam Kec. Sukajadi	RS Santa Maria Pekanbaru Kota Pekanbaru	RS	Santa	Maria	Pekanbaru	Kota	Pekanbaru						
Kota Tangerang	RS Sari Asih Ciledug	Jl.Hos Cokro Aminoto No.38 Ciledug Kota Tangerang	RS Sari Asih Ciledug Kota Tangerang	RS	Sari	Asih	Ciledug	Kota	Tangerang						
Kota Tangerang	RS Sari Asih Cipondoh	Jl. Maulana Hasanudin No. 108 Kel. Cipondoh Makmur Kec. Cipondoh Kota Tangerang Banten 15148	RS Sari Asih Cipondoh Kota Tangerang	RS	Sari	Asih	Cipondoh	Kota	Tangerang						
Kota Tangerang Selatan	RS Sari Asih Ciputat	Jl Raya Otista Sasak Tinggi No. 3 Ciputat	RS Sari Asih Ciputat Kota Tangerang Selatan	RS	Sari	Asih	Ciputat	Kota	Tangerang	Selatan					
Kota Tangerang	RS Sari Asih Karawaci	Jl. Imam Bonjol No 38 Karawaci Sukajadi Kota Tangerang	RS Sari Asih Karawaci Kota Tangerang	RS	Sari	Asih	Karawaci	Kota	Tangerang						
Kota Tangerang	RS Sari Asih Sangiang	Jl. Moh. Toha KM 3,5 (Simpang Tiga Sangiang) Kota Tangerang	RS Sari Asih Sangiang Kota Tangerang	RS	Sari	Asih	Sangiang	Kota	Tangerang						
Kota Serang	RS Sari Asih Serang	Jl.Raya Jenderal Sudirman No.38, Kel.Penancangan, Kec.Cipocok, Kota Serang	RS Sari Asih Serang Kota Serang	RS	Sari	Asih	Serang	Kota	Serang						
Tangerang	RS Selaras	Jl. Raya Lapan Rumpin Suradita	RS Selaras Tangerang	RS	Selaras	Tangerang									
Gresik	RS Semen Gresik	Jl. R A Kartini No. 280 Kel. Tlogopatut Kec. Gresik, Kab. Gresik	RS Semen Gresik Gresik	RS	Semen	Gresik	Gresik								
Indramayu	RS Sentra Medika Langut	Jl. Raya Langut No. 100	RS Sentra Medika Langut Indramayu	RS	Sentra	Medika	Langut	Indramayu							
Kota Ambon	RS Siloam Ambon	Jl. Sultan Hasanuddin RT. 005 RW. 005 Kel. Hative kecil Kec. Sirimau	RS Siloam Ambon Kota Ambon	RS	Siloam	Ambon	Kota	Ambon							
Kota Banjarmasin	RS Siloam Banjarmasin	Jl. Ahmad Yani Km. 2 RT. 014 RW. 02, Sungai Baru Banjarmasin Tengah	RS Siloam Banjarmasin Kota Banjarmasin	RS	Siloam	Banjarmasin	Kota	Banjarmasin							
Kota Bekasi	RS Siloam Bekasi Sepanjang Jaya	Jl. Pramuka No. 12 Rt. 004 Rw. 002 Kel. Sepanjang Jaya Kec. Rawalumbu Bekasi	RS Siloam Bekasi Sepanjang Jaya Kota Bekasi	RS	Siloam	Bekasi	Sepanjang	Jaya	Kota	Bekasi					
Kota Bekasi	RS Siloam Bekasi Timur	Jl. Charil Anwar Blu Plaza No 27, RT. 004 RW. 09 Kelurahan Margahayu Kecamatan Bekasi Timur	RS Siloam Bekasi Timur Kota Bekasi	RS	Siloam	Bekasi	Timur	Kota	Bekasi						
Kota Baubau	RS Siloam Hospital Buton	Jl. Sultan Hasanuddin No. 58 Kelurahan Batulo Kecamatan Wolio	RS Siloam Hospital Buton Kota Baubau	RS	Siloam	Hospital	Buton	Kota	Baubau						
Kota Balikpapan	RS Siloam Hospitals Balikpapan	JL. MT. Haryono Dalam No. 23	RS Siloam Hospitals Balikpapan Kota Balikpapan	RS	Siloam	Hospitals	Balikpapan	Kota	Balikpapan						
Tangerang	RS Siloam Hospitals Kelapa Dua	Jl. Kelapa Dua Raya No.1001 Kel. Kelapa Dua Kec. Kelapa Dua Tangerang	RS Siloam Hospitals Kelapa Dua Tangerang	RS	Siloam	Hospitals	Kelapa	Dua	Tangerang						
Tangerang	RS Siloam Hospitals Lippo Village	Jl. Siloam Lippo Karawaci Tangerang	RS Siloam Hospitals Lippo Village Tangerang	RS	Siloam	Hospitals	Lippo	Village	Tangerang						
Kota Jambi	RS Siloam Jambi	Jl. Soekarno - Hatta Paal Merah,Jambi	RS Siloam Jambi Kota Jambi	RS	Siloam	Jambi	Kota	Jambi							
Kupang	RS Siloam Kupang	Jl. R. W. Monginsidi Kelurahan Fatululi Kecamatan Oebobo	RS Siloam Kupang Kupang	RS	Siloam	Kupang	Kupang								
