"","hospital","address","bed_availability","queue","last_update","tlp_number","province","district","scraped_at","bed_type"
"392","RS Umum Mojosongo 2","Jln. Nusa Indah , Randurejo, Ngringo, Jaten","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","51 menit","0271822152 ","33","3313",2021-08-15 20:56:56,"COVID-19"
"393","RS Umum PKU Muhammadiyah Karang Anyar","Jl. Raya Papahan Ds. Papahan Kec. Tasikmadu Karanganyar","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","7 jam","0271494019","33","3313",2021-08-15 20:56:56,"COVID-19"
"394","RS Umum Indo Sehat Karangayar ","JL. Raya Solo - Sragen KM. 11","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","9 jam","02716882218","33","3313",2021-08-15 20:56:56,"COVID-19"
"395","RSAU dr. Siswanto Lanud Adi Soemarmo","Jl. Tentara Pelajar - Colomadu, Karanganyar","Bed IGD Penuh!","tanpa antrian pasien.","5 jam","085283575879","33","3313",2021-08-15 20:56:56,"COVID-19"
"396","RS Ibu dan Anak Dian Pertiwi "," Jl. Lawu Papahan, Tasikmadu Karanganyar ","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","0271494829","33","3313",2021-08-15 20:56:56,"COVID-19"
"397","RS Umum Jafar Medika Karanganyar","Munggur, RT 9 RW4, Kec. Mojogedang, Kab. Karanganyar, Jawa Tengah","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","08112644011","33","3313",2021-08-15 20:56:56,"COVID-19"
"398","RS Umum Islam Karawang","Jl. Pangkal Perjuangan KM.2, Karawang","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","54 menit","0267414520524","32","3215",2021-08-15 20:56:56,"COVID-19"
"399","RS Khusus Paru Kabupaten Karawang","Jl. Raya Jatisari Desa Jatisari Kec. Jatisari","Tersedia 12 bed kosong IGD","tanpa antrian pasien.","3 jam","081398146824","32","3215",2021-08-15 20:56:56,"COVID-19"
"400","RS Primaya Karawang","Jl. Arteri Galuh Mas Kav. Komersial Galuh Mas Blok 10, Desa Puseurjaya Kec. Telukjambe Timur","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","10 jam","02678417777","32","3215",2021-08-15 20:56:56,"COVID-19"
"401","RS Umum Bayukarta","Jl. Kertabumi No.44 Karawang","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","11 jam","0267401817","32","3215",2021-08-15 20:56:56,"COVID-19"
"402","RS Hermina Karawang","Jl. Tuparev Sukasari Kel. Karawang Wetan Kec. Karawang Timur Karawang","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","14 jam","02678412525","32","3215",2021-08-15 20:56:56,"COVID-19"
"403","RS Umum Proklamasi","Jl. Raya Proklamasi KM. 2 Rengasdengklok, Karawang","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","15 jam","0267482192","32","3215",2021-08-15 20:56:56,"COVID-19"
"404","RS Ibu dan Anak Sentul","Jl. A. Yani No 16 Sentul Cikampek Karawang","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","37 jam","02648389060","32","3215",2021-08-15 20:56:56,"COVID-19"
"405","RS Umum Citra Sari Husada","Jl. Raya Kosambi -Telaga Sari Km.3 Klari, Karawang ","Bed IGD Penuh!","tanpa antrian pasien.","kurang dari 1 menit","02678617972","32","3215",2021-08-15 20:56:56,"COVID-19"
"406","RS Umum Karya Husada","Jl. Jend. A.Yani No.98 Cikampek Karawang","Bed IGD Penuh!","tanpa antrian pasien.","1 menit","081381817189","32","3215",2021-08-15 20:56:56,"COVID-19"
"407","RS Umum Daerah Karawang"," Jl. Galuh Mas Raya No.1, Sukaharja, Teluk Jambe, Karawang","Bed IGD Penuh!","tanpa antrian pasien.","1 menit","0267640118","32","3215",2021-08-15 20:56:56,"COVID-19"
"408","RS Umum Saraswati","Jl. Jend. Ahmad Yani No.27, Cikampek, Kab. Karawang","Bed IGD Penuh!","tanpa antrian pasien.","4 jam","081296078669","32","3215",2021-08-15 20:56:56,"COVID-19"
"409","RS Umum Helsa","Jln. Ir. H. Juanda No 123 Cikampek Karawang","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","02648386222","32","3215",2021-08-15 20:56:56,"COVID-19"
"410","RS Ibu dan Anak Dr. Djoko Pramono","Jl. Panatayuda I No.35, Karawang","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","082310253369","32","3215",2021-08-15 20:56:56,"COVID-19"
"411","RS Umum Fikri Medika","Jl. Raya Kosambi - Telagasari KM 03 Klari Karawang","Bed IGD Penuh!","tanpa antrian pasien.","15 jam","02678615555","32","3215",2021-08-15 20:56:56,"COVID-19"
"412","RS Umum Amanda Mitra Keluarga","Jl. Raya Buahaseum  Desa Karya Mukti  Kec. Lemahabang Wadas Kab. Karawang","Bed IGD Penuh!","tanpa antrian pasien.","34 jam","081287445555","32","3215",2021-08-15 20:56:56,"COVID-19"
"413","RS Umum Mitra Family","Jl. Raya Galuh Mas RT/RW 002/005, Desa Sukaharja, Kecamatan Teluk Jambe Timur","Bed IGD Penuh!","tanpa antrian pasien.","37 jam","02678458328","32","3215",2021-08-15 20:56:56,"COVID-19"
"414","RS Umum Efarina Etaham","Jl Djamin Ginting, Berastagi - Desa Raya, Kab. Karo","Tersedia 12 bed kosong IGD","tanpa antrian pasien.","36 jam","081360183452","12","1211",2021-08-15 20:56:57,"COVID-19"
"415","RS Umum Amanda","Jl Jamin Ginting Simpang Korpri No. 1 Berastagi","Bed IGD Penuh!","tanpa antrian pasien.","9 jam","082365327746","12","1211",2021-08-15 20:56:57,"COVID-19"
"416","RS Umum Daerah Kabanjahe","Jl Kapten Selamat Ketaren No. 08 Kabanjahe","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","062820550","12","1211",2021-08-15 20:56:57,"COVID-19"
"417","RS Umum Daerah  Mas Amsyar Kasongan"," Jl. Rumah Sakit No.1,Kasongan","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","05364041041","62","6209",2021-08-15 20:56:58,"COVID-19"
"418","RS Umum Daerah Sultan Muhammad Jamaludin I","Jl. Provinsi Sukadana, Teluk Batang, Dusun Senebing RT. 03/ RW.1 Desa Harapan Mulia Kecamatan Su","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","25 jam","05343031475","61","6111",2021-08-15 20:56:59,"COVID-19"
"419","RS Umum Palang Biru Gombong","Jl. Yos Sudarso Timur Desa Kedungpuji Gombong","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","7 menit","0287471290","33","3305",2021-08-15 20:56:59,"COVID-19"
"420","RS Umum Purwogondo"," Jl. Puring Km.8, Kalipurwo Kuwarasan Kebumen ","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","13 menit","0287472588","33","3305",2021-08-15 20:56:59,"COVID-19"
"421","RS Umum PKU Muhammadiyah Petanahan Kebumen","Jl. Daendels, KM-1, Kec.Petanahan.","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 menit","02876655285","33","3305",2021-08-15 20:56:59,"COVID-19"
"422","RS Umum Muhammadiyah Kutowinangun ","Jl. Pemuda No 12 Kutowinangun","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","45 menit","0287661137","33","3305",2021-08-15 20:56:59,"COVID-19"
"423","RS Umum Permata Medika Kebumen","JL. INDRAKILA NO.17","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","45 menit","02873870779","33","3305",2021-08-15 20:56:59,"COVID-19"
"424","RS Umum Purbowangi","Jl. Yos Sudarso Barat No.1 Gombong","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","4 jam","0287471080","33","3305",2021-08-15 20:56:59,"COVID-19"
"425","RS Umum Daerah dr. Soedirman Kabupaten Kebumen","Jl. Lingkar Selatan, Muktisari Kebumen","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","7 jam","02873873318","33","3305",2021-08-15 20:56:59,"COVID-19"
"426","RS Umum Daerah Prembun","Jl. Slamet Riyadi No. 53 Prembun Kebumen","Tersedia 18 bed kosong IGD","tanpa antrian pasien.","12 jam","02876651900","33","3305",2021-08-15 20:56:59,"COVID-19"
"427","RS Umum Wijayakusuma","Jl. Gelatik No.1 Panjer, Kebumen","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 jam","0287381954","33","3305",2021-08-15 20:56:59,"COVID-19"
"428","RS Umum PKU Muhamadiyah Gombong","Jl. Yos Sudarso 461 Gombong Kebumen","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","35 jam","082323555033","33","3305",2021-08-15 20:56:59,"COVID-19"
"429","RS Umum PKU Muhammadiyah Sruweng","Jl. Raya Sruweng No.5 Sruweng Kebumen","Bed IGD Penuh!","dengan antrian 2 pasien","26 menit","02876601061","33","3305",2021-08-15 20:56:59,"COVID-19"
"430","RS Umum Daerah Kabupaten Kediri","Jl. Pahlawan Kusuma Bangsa No. 1 Pare","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","9 jam","0354391718","35","3506",2021-08-15 20:57:00,"COVID-19"
"431","RS Umum Arga Husada","Ds. Branggahan Kec. Ngadiluwih","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","11 jam","0354476376","35","3506",2021-08-15 20:57:00,"COVID-19"
"432","RS Toelongredjo","Jl. A Yani No. 25 Desa Tulungrejo, Kec. Pare, Kab. Kediri","Bed IGD Penuh!","tanpa antrian pasien.","52 menit","082230309494","35","3506",2021-08-15 20:57:00,"COVID-19"
"433","RS Umum Amelia","Jl. Pahlawan No. 25A Pare Kediri","Bed IGD Penuh!","tanpa antrian pasien.","3 jam","0354394118","35","3506",2021-08-15 20:57:00,"COVID-19"
"434","RS Umum  Aura Syifa","Jl. Joyoboyo 42 Dsn. Dlopo Desa Karangrejo Kecamatan Ngasem","Bed IGD Penuh!","tanpa antrian pasien.","10 jam","0354682316","35","3506",2021-08-15 20:57:00,"COVID-19"
"435","RS Darurat Kediri Lagi","Jl. Yos Sudarso No. 84 Tulungrejo Kec. Pare","Bed IGD Penuh!","tanpa antrian pasien.","13 jam","hotline tidak tersedia","35","3506",2021-08-15 20:57:00,"COVID-19"
"436","RS Umum Muhammadiyah Surya Melati ","Jl. Raya Ngadiluwih - Wates km. 10, Ds. Ngletih, Kec. Kandat, Kab, Kediri","Bed IGD Penuh!","tanpa antrian pasien.","28 jam","0354441748","35","3506",2021-08-15 20:57:00,"COVID-19"
"437","RS Umum Daerah Simpang Lima Gumul Kediri","Jl. Galuh Candra Kirana Desa Tugurejo Kecamatan Ngasem Kabupaten Kediri                          
","Bed IGD Penuh!","dengan antrian 2 pasien","4 jam","03542891400","35","3506",2021-08-15 20:57:00,"COVID-19"
"438","RS Umum Muhammadiyah Siti Khodijah","JL. Dr. Soetomo 322 Sukorejo Kec. Gurah Kab. Kediri","Bed IGD Penuh!","dengan antrian 2 pasien","36 jam","0354545481","35","3506",2021-08-15 20:57:00,"COVID-19"
"439","RS Umum Daerah  Dr. H. Soewondo Kendal","Jl. Laut No. 21, Kendal","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","27 menit","(0294) 381433","33","3324",2021-08-15 20:57:01,"COVID-19"
"440","RS Umum Muhammadiyah Darul Istiqomah","Jln. Sekopek No. 15 , Kaliwungu","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","3 jam","0294382148","33","3324",2021-08-15 20:57:01,"COVID-19"
"441","RS Umum Baitul Hikmah","Jl. Soekarno Hatta KM 12 Kendal","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","6 jam","02943690666","33","3324",2021-08-15 20:57:01,"COVID-19"
"442","RS Umum Islam Kendal","Jl. Ar.Rahmah No.17 Ds. Ngasinan, Weleri,Kendal","Tersedia 11 bed kosong IGD","tanpa antrian pasien.","8 jam","0294641870","33","3324",2021-08-15 20:57:01,"COVID-19"
"443","RS Umum Charlie Hospital","Dusun Balak RT 001 RW 006 Desa Ngabean Kec. Boja Kab. Kendal","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","37 jam","02486005000","33","3324",2021-08-15 20:57:01,"COVID-19"
"444","RS Umum Daerah Kepahiang","Jl. Lintas Kepahiang-Bengkulu KM 03 Desa Tebat Monok Kepahiang","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","14 jam","081368083882","17","1708",2021-08-15 20:57:01,"COVID-19"
"445","RS Umum Daerah Kep. Mentawai","Jl. Raya Tuapejat KM.9 - Sipora Utara","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","082386103868","13","1301",2021-08-15 20:57:02,"COVID-19"
"446","RS Umum Liun Kendage"," Jalan Tatehe Kelurahan Apengsembeka Kecamatan Tahuna","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","5 jam","043224410","71","7103",2021-08-15 20:57:03,"COVID-19"
"447","RS Umum Daerah Kepulauan Seribu","Pulau Pramuka, Kel. Pulau Panggang","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","12 jam","hotline tidak tersedia","31","3101",2021-08-15 20:57:04,"COVID-19"
"448","RS Umum Daerah Sanana","Jl. Dr. Sibarani - Desa Falahu Kecamatan Sanana Kabupaten Kep. Sula","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","38 jam","092921833","82","8203",2021-08-15 20:57:05,"COVID-19"
"449","RS Umum Daerah Mayjen H. A. Thalib","Jl. Basuki Rahmat Sungai Penuh Kabupaten Kerinci","Bed IGD Penuh!","tanpa antrian pasien.","36 jam","074821118","15","1501",2021-08-15 20:57:06,"COVID-19"
"450","RS Fatima Ketapang","Jl. Jend. Sudirman No.27 Ketapang","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","13 jam","085348995208","61","6106",2021-08-15 20:57:06,"COVID-19"
"451","RS Umum Islam Cawas Klaten","Jl. Raya Tugu-Cawas Klaten ","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","1 menit","02723359222","33","3310",2021-08-15 20:57:07,"COVID-19"
"452","RS Umum Daerah Bagas Waras","  Jalan Ir. Soekarno Km 2 Buntalan Klaten ","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","24 menit","0272335966","33","3310",2021-08-15 20:57:07,"COVID-19"
"453","RS Jiwa Daerah Dr. RM. Soedjarwadi","Jalan Ki Pandanaran Km. 2, Klaten","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","27 menit","0272321435","33","3310",2021-08-15 20:57:07,"COVID-19"
"454","RS Ibu dan Anak Aisyiah","Jl. KH. Hasyim Ashari, Mojayan, Klaten","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","50 menit","0272320566","33","3310",2021-08-15 20:57:07,"COVID-19"
"455","RS Umum PKU Muhammadiyah Delanggu","Jln Raya Delanggu Utara No 19 Delanggu Klaten","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","2 jam","0272551051","33","3310",2021-08-15 20:57:07,"COVID-19"
"456","RS Umum Mitra Keluarga Husada Klaten","Jl.  Raya Pedan - Juwiring Km. 1 Kedungan, Pedan, Klaten","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","4 jam","0272898333","33","3310",2021-08-15 20:57:07,"COVID-19"
"457","RS Darurat PKU Muhammadiyah Prambanan","Jl. Raya Batas Kota Klaten Prambanan KM 46, Sanggrahan Prambanan 57454","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","10 jam","hotline tidak tersedia","33","3310",2021-08-15 20:57:07,"COVID-19"
"458","RS PKU Muhammadiyah Pedan","Jl. Pedan-Cawas KM. 01 Sobayan Pedan Klaten","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","11 jam","0272897796 ","33","3310",2021-08-15 20:57:07,"COVID-19"
"459","RS Khusus Bedah Diponegoro","Jl. Diponegoro No.21,Klaten","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","15 jam","0272325127","33","3310",2021-08-15 20:57:07,"COVID-19"
"460","RS Umum Cakra Husada","Jl. Merbabu No. 7,Klaten","Bed IGD Penuh!","tanpa antrian pasien.","27 menit","0272321123","33","3310",2021-08-15 20:57:07,"COVID-19"
"461","RS Umum Pusat Dr. Soeradji Tirtonegoro","Jl. KRT. Suraji Tirtonegoro No.1, Klaten","Bed IGD Penuh!","tanpa antrian pasien.","36 menit","0272321020","33","3310",2021-08-15 20:57:07,"COVID-19"
"462","RS Umum Islam Klaten","Jl. Raya Klaten Solo KM 4,Klaten","Bed IGD Penuh!","dengan antrian 2 pasien","5 jam","0272322252","33","3310",2021-08-15 20:57:07,"COVID-19"
"463","RS Umum PKU Muhammadiyah Jatinom Klaten","Jl.Raya Jatinom-Klaten KM 01, Gendaren, Jatinom, Klaten","Bed IGD Penuh!","dengan antrian 6 pasien","11 jam","0272337334","33","3310",2021-08-15 20:57:07,"COVID-19"
"464","RS Umum Daerah Klungkung","Jl. Flamboyan No. 40 Semarapura","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","036621172","51","5105",2021-08-15 20:57:07,"COVID-19"
"465","RS Umum Daerah Gema Santi Nusa Penida","Banjar Nyuh, Desa Ped, Kecamatan Nusa Penida","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","7 jam","03665581160","51","5105",2021-08-15 20:57:07,"COVID-19"
"466","RS Umum Permata Hati","Jl. Kecubung No. 22 Samarapura","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","13 jam","036624777","51","5105",2021-08-15 20:57:07,"COVID-19"
"467","RS Umum Grha Bhakti Medika","Jl. By Pass Prof. Dr. Ida Bagus Mantra Desa Negari Kec. Banjarangkan","Bed IGD Penuh!","tanpa antrian pasien.","4 jam","03665584001","51","5105",2021-08-15 20:57:07,"COVID-19"
"468","RS Umum Bintang","Jl. Ngurah Rai No. 10","Bed IGD Penuh!","dengan antrian 1 pasien","7 jam","036625241","51","5105",2021-08-15 20:57:07,"COVID-19"
"469","RS Umum Daerah Konawe","Jl. Pangeran Diponegoro No.301, Konawe","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","4 jam","082245593648","74","7403",2021-08-15 20:57:08,"COVID-19"
"470","RS Umum Daerah Kabupaten Konawe Kepulauan","    Jl. Poros Pelabuhan Langara Kelurahan Langara, Kec. Wawonii Barat, Kab. Konawe Kepulauan","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","13 jam","082359367845","74","7412",2021-08-15 20:57:09,"COVID-19"
"471","RS Umum Daerah Konawe Selatan"," Jl. Poros Andoolo No. 1","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","13 jam","082344444830","74","7405",2021-08-15 20:57:09,"COVID-19"
"472","RS Umum Pusat Dr. J. Leimena","Desa Wailela Kec. Teluk Ambon","Tersedia 11 bed kosong IGD","tanpa antrian pasien.","kurang dari 1 menit","082399251161","81","8171",2021-08-15 20:57:10,"COVID-19"
"473","RS Tk. II Prof. dr. J. A. Latumeten","Jl. Dr. Tamaela No. 2 Ambon","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","36 jam","hotline tidak tersedia","81","8171",2021-08-15 20:57:10,"COVID-19"
"474","RS Siloam Ambon","Jl. Sultan Hasanuddin RT. 005 RW. 005 Kel. Hative kecil Kec. Sirimau","Bed IGD Penuh!","tanpa antrian pasien.","40 jam","09113811900","81","8171",2021-08-15 20:57:10,"COVID-19"
"475","RS Umum Daerah Beriman","Jl. Mayjend Sutoyo Rt 01 No. 30 Gn Sari Ulu","Tersedia 16 bed kosong IGD","tanpa antrian pasien.","11 jam","0542792022","64","6471",2021-08-15 20:57:10,"COVID-19"
"476","RS  Pertamina Balikpapan","Jl. Jend Sudirman Balikpapan No.1","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","13 jam","0542422500","64","6471",2021-08-15 20:57:10,"COVID-19"
"477","RS Bhayangkara Balikpapan","Jl. Jend Sudirman No. 14 Kel Prapatan","Tersedia 8 bed kosong IGD","tanpa antrian pasien.","31 jam","0895704395335","64","6471",2021-08-15 20:57:10,"COVID-19"
"478","RS Umum Tingkat IV  Lanud Balikpapan","Jl. Marsma R. IswahyudiRT 31 Kel. Sepinggan Raya Kec. Balikpapan Selatan","Bed IGD Penuh!","tanpa antrian pasien.","10 jam","081254417149","64","6471",2021-08-15 20:57:10,"COVID-19"
"479","RS Umum Balikpapan Baru","Jl. MT.Haryono Komplek Perumahan Balikpapan Baru Blok A.3A No.7-9","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","0542877330","64","6471",2021-08-15 20:57:10,"COVID-19"
"480","RS Hermina Balikpapan","Jl. MT Haryono No 45","Bed IGD Penuh!","dengan antrian 9 pasien","38 jam","05428532525","64","6471",2021-08-15 20:57:10,"COVID-19"
"481","RS Umum Daerah  Dr. Zainoel Abidin","Jl. Tgk Daud Beureueh, NO. 108 B. Aceh","Bed IGD Penuh!","tanpa antrian pasien.","42 menit","065134571","11","1171",2021-08-15 20:57:11,"COVID-19"
"482","RS Tk. II Iskandar Muda Banda Aceh","Jl. T. Hamzah Bendahara No. 1 Banda Aceh","Bed IGD Penuh!","tanpa antrian pasien.","6 jam","065124712","11","1171",2021-08-15 20:57:11,"COVID-19"
"483","RS Umum Daerah Meuraxa","Jl. Soekarno Hatta Km. 2 Desa Mibo Kecamatan Banda Raya Kota Banda Aceh","Bed IGD Penuh!","tanpa antrian pasien.","11 jam","065143097","11","1171",2021-08-15 20:57:11,"COVID-19"
"484","RS Umum Pertamedika Ummi Rosnati","Jl. Sekolah No. 5 Gampoeng Ateuk Pahlawan, Kecamatan Baiturahman, Kota Banda Aceh 23241","Bed IGD Penuh!","tanpa antrian pasien.","36 jam","08116786226","11","1171",2021-08-15 20:57:11,"COVID-19"
"485","RS Umum Daerah Dr H Abdul Moeloek","Jl. Dr. Rivai 6,Penengahan B.Lampung","Tersedia 15 bed kosong IGD","tanpa antrian pasien.","3 menit","0721703312","18","1871",2021-08-15 20:57:11,"COVID-19"
"486","RS Umum Advent Bandar Lampung","Jl. Teuku Umar 48,Bandar Lampung","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","10 jam","0721703459","18","1871",2021-08-15 20:57:11,"COVID-19"
"487","RS Umum Pertamina-Bintang Amin Lampung","Jl. Pramuka No.27,Bandar Lampung","Tersedia 4 bed kosong IGD","tanpa antrian pasien.","14 jam","083108511401","18","1871",2021-08-15 20:57:11,"COVID-19"
"488","RS Hermina Lampung","Jl. Tulang Bawang No. 21 Kel. Enggal Kec. Enggal","Tersedia 5 bed kosong IGD","tanpa antrian pasien.","37 jam","0721242525","18","1871",2021-08-15 20:57:11,"COVID-19"
"489","RS Umum Imanuel Way Halim","Jl. Sukarno Hatta Way Halim,Bandar Lampung","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","0721704900","18","1871",2021-08-15 20:57:11,"COVID-19"
"490","RS Bhayangkara Polda Lampung","Jl. Pramuka No.88 Rajabasa Bandar Lampung","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","0721706402","18","1871",2021-08-15 20:57:11,"COVID-19"
"491","RS Umum Daerah Dr. A. Dadi Tjokrodipo"," Jl. Basuki Rachmad No.73 Teluk Betung Utara, Bandar Lampung","Bed IGD Penuh!","tanpa antrian pasien.","31 jam","0721471723","18","1871",2021-08-15 20:57:11,"COVID-19"
"492","RS Jiwa Bandar Lampung","Jl. Raya Gd.Tataan KM 13 Bandar Lampung","Bed IGD Penuh!","tanpa antrian pasien.","36 jam","081279521234","18","1871",2021-08-15 20:57:11,"COVID-19"
"493","RS Paru Dr. H. A. Rotinsulu","Jl. Bukit Jarian No. 40 Bandung","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","9 menit","022-203446 Ext. 225","32","3273",2021-08-15 20:57:12,"COVID-19"
"494","RS Umum Immanuel Bandung","Jl. Kopo 161 Bandung","Tersedia 10 bed kosong IGD","tanpa antrian pasien.","26 menit","081312620066","32","3273",2021-08-15 20:57:12,"COVID-19"
"495","RS Umum Pindad","Jl. Gatot Soebroto No. 517 Kel. Sukapura Kec. Kiaracondong","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","39 menit","0227322877","32","3273",2021-08-15 20:57:12,"COVID-19"
"496","RS Umum Pusat Dr. Hasan Sadikin","Jl. Pasteur No. 38 Bandung","Tersedia 42 bed kosong IGD","tanpa antrian pasien.","56 menit","0222551189","32","3273",2021-08-15 20:57:12,"COVID-19"
"497","RS Umum Hermina Arcamanik","Jl. A.H. Nasution No. 50 Antapani Kota Bandung","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","3 jam","02287242525","32","3273",2021-08-15 20:57:12,"COVID-19"
"498","RS Umum Hermina Pasteur ","Jl. Dr. Djundjunan No.107 Kota Bandung","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","4 jam","0226072525","32","3273",2021-08-15 20:57:12,"COVID-19"
"499","RSU Bhayangkara Tk. II Sartika Asih","Jl. Moch. Toha No. 369 Bandung","Tersedia 7 bed kosong IGD","tanpa antrian pasien.","4 jam","087889996747","32","3273",2021-08-15 20:57:12,"COVID-19"
"500","RS Khusus Ginjal Ny. R. A. Habibie","Jl. Tubagus Ismail No. 46 Kota Bandung","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","7 jam","0222501985","32","3273",2021-08-15 20:57:12,"COVID-19"
"501","RS Umum Santo Yusup","Jl. Cikutra No. 7 Kota Bandung","Tersedia 3 bed kosong IGD","tanpa antrian pasien.","11 jam","0227202420","32","3273",2021-08-15 20:57:12,"COVID-19"
"502","RS Umum Santosa Hospital Bandung Central","Jl. Kebon Jati No.38,Bandung","Tersedia 11 bed kosong IGD","tanpa antrian pasien.","12 jam","087822773207","32","3273",2021-08-15 20:57:12,"COVID-19"
"503","RS Umum Bungsu","Jl. Veteran No. 6 Bandung","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 jam","0224231695","32","3273",2021-08-15 20:57:12,"COVID-19"
"504","RS Umum Al-Islam Bandung","Jl. Soekarno. Hatta 644 Bandung","Tersedia 1 bed kosong IGD","tanpa antrian pasien.","13 jam","082213745569","32","3273",2021-08-15 20:57:12,"COVID-19"
"505","RS Umum Daerah Kota Bandung","Jl. Rumah Sakit 22 Ujung Berung, Kota Bandung","Tersedia 6 bed kosong IGD","tanpa antrian pasien.","15 jam","0227800017","32","3273",2021-08-15 20:57:12,"COVID-19"
"506","RS Edelweiss","Jl. Soekarno Hatta No. 550 Kel. Sekejati Kec. Buahbatu","Tersedia 13 bed kosong IGD","tanpa antrian pasien.","32 jam","02286023000","32","3273",2021-08-15 20:57:12,"COVID-19"
"507","RS Umum Muhammadiyah","Jl. K.H. Ahmad Dahlan No.53 Bandung","Tersedia 9 bed kosong IGD","tanpa antrian pasien.","35 jam","0227301062","32","3273",2021-08-15 20:57:12,"COVID-19"
"508","RS Khusus Bedah Halmahera Siaga","Jl. LL RE Martadinata No. 28 Kota Bandung","Tersedia 2 bed kosong IGD","tanpa antrian pasien.","37 jam","0224206061","32","3273",2021-08-15 20:57:12,"COVID-19"
"509","RS Ibu dan Anak Kota Bandung","Jl. KH. Wahid Hasyim No. 311 Bandung","Bed IGD Penuh!","tanpa antrian pasien.","9 jam","02286037777","32","3273",2021-08-15 20:57:12,"COVID-19"
"510","RS Khusus Mata Cicendo","Jl. Cicendo No.4 Bandung","Bed IGD Penuh!","tanpa antrian pasien.","12 jam","0224231280","32","3273",2021-08-15 20:57:12,"COVID-19"
"511","RS Ibu dan Anak Melinda ","Jl. Pajajaran No.46 Kel Pasirkaliki, Kec. Cicendo, Kota Bandung","Bed IGD Penuh!","tanpa antrian pasien.","35 jam","0224222788","32","3273",2021-08-15 20:57:12,"COVID-19"
"512","RS Umum Santo Borromeus","Jl. Ir. H. Juanda  No.100 Kota Bandung","Bed IGD Penuh!","dengan antrian 16 pasien","41 menit","0222552000","32","3273",2021-08-15 20:57:12,"COVID-19"
